StudyID,Species,Developmental_mode,Study_area,Lat_study_area,Long_study_area
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815681,Larus michahellis,semi-precocial,Comacchio; Italy,44.33,12.18
rayyan-123815681,Larus michahellis,semi-precocial,Comacchio; Italy,44.33,12.18
rayyan-123815681,Larus michahellis,semi-precocial,Comacchio; Italy,44.33,12.18
rayyan-123815691,Haemorhous mexicanus,altricial,Alabama; USA,NA,NA
rayyan-123814348,Larus michahellis,semi-precocial,Comacchio; Italy,44.333333,12.183333
rayyan-123814350,Larus michahellis,semi-precocial,Comacchio; Italy,44.33,12.18
rayyan-123814024,Chroicocephalus ridibundus,semi-precocial,North coast of The Netherlands,NA,NA
rayyan-123814059,Parus major,altricial,Köniz forest; Switzerland,46.93,7.4
rayyan-123814059,Parus major,altricial,Köniz forest; Switzerland,46.93,7.4
rayyan-123814059,Parus major,altricial,Köniz forest; Switzerland,46.93,7.4
rayyan-123814059,Parus major,altricial,Köniz forest; Switzerland,46.93,7.4
rayyan-123814059,Parus major,altricial,Köniz forest; Switzerland,46.93,7.4
rayyan-123814059,Parus major,altricial,Köniz forest; Switzerland,46.93,7.4
rayyan-123814207,Passer domesticus,altricial,Pullman; USA,46.12,-117.03
rayyan-123814355,Parus major,altricial,Bennekom; The Netherlands,51.998056,5.676389
rayyan-123814355,Parus major,altricial,Bennekom; The Netherlands,51.998056,5.676389
rayyan-123814466,Sturnus vulgaris,altricial,Revinge; Sweden,NA,NA
rayyan-123814466,Sturnus vulgaris,altricial,Revinge; Sweden,NA,NA
rayyan-123814809,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
rayyan-123814809,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815312,Falco sparverius,altricial,Washington; USA,46.73,-117.17
rayyan-123815439,Ficedula hypoleuca,altricial,Turku; Finland,60.42,22.18
rayyan-123815674,Ficedula albicollis,altricial,Turku; Finland,60.43,22.17
rayyan-123814234,Sturnus unicolor,altricial,Soto del Real; Madrid; Spain,49.75,-3.8
rayyan-123814234,Sturnus unicolor,altricial,Soto del Real; Madrid; Spain,49.75,-3.8
rayyan-123814234,Sturnus unicolor,altricial,Soto del Real; Madrid; Spain,49.75,-3.8
rayyan-123814059,Parus major,altricial,Köniz forest; Switzerland,46.93,7.4
rayyan-123814059,Parus major,altricial,Köniz forest; Switzerland,46.93,7.4
rayyan-123815168,Troglodytes aedon,altricial,McLean County; Illinois; USA,40.66,-88.89
rayyan-123815168,Troglodytes aedon,altricial,McLean County; Illinois; USA,40.66,-88.89
rayyan-123815168,Troglodytes aedon,altricial,McLean County; Illinois; USA,40.66,-88.89
rayyan-123815168,Troglodytes aedon,altricial,McLean County; Illinois; USA,40.66,-88.89
rayyan-123814941,Larus michahellis,semi-precocial,Sálvora Island; Galicia; Spain ,42.466667,9
rayyan-123814207,Passer domesticus,altricial,Pullman; USA,46.12,-117.03
rayyan-123814230,Parus major,altricial,Bern; Switzerland,46.9,7.3
rayyan-123814230,Parus major,altricial,Bern; Switzerland,46.9,7.3
rayyan-123814230,Parus major,altricial,Bern; Switzerland,46.9,7.3
rayyan-123814430,Sturnus unicolor,altricial,Soto del Real; Madrid; Spain,49.75,-3.8
rayyan-123814430,Sturnus unicolor,altricial,Soto del Real; Madrid; Spain,49.75,-3.8
rayyan-123814949,Chroicocephalus ridibundus,semi-precocial,Workumer Waard; The Netherlands,NA,NA
rayyan-123815439,Ficedula hypoleuca,altricial,Turku; Finland,60.42,22.18
rayyan-123815657,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
rayyan-123815688,Passer domesticus,altricial,Pullman; USA,46.73,-117.17
rayyan-123815688,Passer domesticus,altricial,Pullman; USA,46.73,-117.17
rayyan-123814355,Parus major,altricial,Bennekom; The Netherlands,51.998056,5.676389
rayyan-123815132,Eudyptes chrysocome,altricial,New Island; Malvinas; UK,-51.72,-61.28
rayyan-123815183,Chroicocephalus ridibundus,semi-precocial,Workumer Waard; The Netherlands,NA,NA
rayyan-123815365,Ficedula albicollis,altricial,Pilis Mountains; Hungary,47.716667,19.016667
rayyan-123815365,Ficedula albicollis,altricial,Pilis Mountains; Hungary,47.716667,19.016667
rayyan-123815439,Ficedula hypoleuca,altricial,Turku; Finland,60.42,22.18
rayyan-123815487,Ficedula albicollis,altricial,Gotland; Sweden,57.166667,18.333333
rayyan-123815660,Falco sparverius,altricial,Washington; USA,46.73,-117.33
rayyan-123815681,Larus michahellis,semi-precocial,Comacchio; Italy,44.33,12.18
rayyan-123815586,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
rayyan-123813945,Parus major,altricial,Kilingi-Nõmme; Estonia,58.12,25.08
rayyan-123815148,Larus michahellis,semi-precocial,Comacchio; Italy,44.33,12.18
rayyan-123815586,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
rayyan-123815653,Chroicocephalus ridibundus,semi-precocial,Westernieland; The Netherlands,53.4,6.46
rayyan-123815586,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
rayyan-123815586,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
rayyan-123815586,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
rayyan-123815586,Ficedula albicollis,altricial,Gotland; Sweden,57.17,18.33
